Temperature - (Celsius), Year, Statistics, Country, ISO3
19.20, 1991, Jan Average, Vietnam, VNM
20.49, 1991, Feb Average, Vietnam, VNM
22.46, 1991, Mar Average, Vietnam, VNM
26.58, 1991, Apr Average, Vietnam, VNM
27.69, 1991, May Average, Vietnam, VNM
27.46, 1991, Jun Average, Vietnam, VNM
27.05, 1991, Jul Average, Vietnam, VNM
27.43, 1991, Aug Average, Vietnam, VNM
26.77, 1991, Sep Average, Vietnam, VNM
23.98, 1991, Oct Average, Vietnam, VNM
21.99, 1991, Nov Average, Vietnam, VNM
21.47, 1991, Dec Average, Vietnam, VNM
19.27, 1992, Jan Average, Vietnam, VNM
21.28, 1992, Feb Average, Vietnam, VNM
22.59, 1992, Mar Average, Vietnam, VNM
25.49, 1992, Apr Average, Vietnam, VNM
27.22, 1992, May Average, Vietnam, VNM
27.93, 1992, Jun Average, Vietnam, VNM
27.80, 1992, Jul Average, Vietnam, VNM
27.18, 1992, Aug Average, Vietnam, VNM
26.46, 1992, Sep Average, Vietnam, VNM
24.51, 1992, Oct Average, Vietnam, VNM
23.12, 1992, Nov Average, Vietnam, VNM
20.45, 1992, Dec Average, Vietnam, VNM
20.93, 1993, Jan Average, Vietnam, VNM
22.21, 1993, Feb Average, Vietnam, VNM
21.33, 1993, Mar Average, Vietnam, VNM
26.68, 1993, Apr Average, Vietnam, VNM
27.47, 1993, May Average, Vietnam, VNM
26.98, 1993, Jun Average, Vietnam, VNM
26.97, 1993, Jul Average, Vietnam, VNM
26.97, 1993, Aug Average, Vietnam, VNM
26.30, 1993, Sep Average, Vietnam, VNM
24.34, 1993, Oct Average, Vietnam, VNM
23.40, 1993, Nov Average, Vietnam, VNM
22.19, 1993, Dec Average, Vietnam, VNM
20.02, 1994, Jan Average, Vietnam, VNM
20.29, 1994, Feb Average, Vietnam, VNM
22.39, 1994, Mar Average, Vietnam, VNM
26.37, 1994, Apr Average, Vietnam, VNM
27.23, 1994, May Average, Vietnam, VNM
27.89, 1994, Jun Average, Vietnam, VNM
27.29, 1994, Jul Average, Vietnam, VNM
26.88, 1994, Aug Average, Vietnam, VNM
26.43, 1994, Sep Average, Vietnam, VNM
25.12, 1994, Oct Average, Vietnam, VNM
22.66, 1994, Nov Average, Vietnam, VNM
20.45, 1994, Dec Average, Vietnam, VNM
20.11, 1995, Jan Average, Vietnam, VNM
19.78, 1995, Feb Average, Vietnam, VNM
22.41, 1995, Mar Average, Vietnam, VNM
24.27, 1995, Apr Average, Vietnam, VNM
26.43, 1995, May Average, Vietnam, VNM
27.41, 1995, Jun Average, Vietnam, VNM
27.28, 1995, Jul Average, Vietnam, VNM
27.12, 1995, Aug Average, Vietnam, VNM
26.13, 1995, Sep Average, Vietnam, VNM
25.21, 1995, Oct Average, Vietnam, VNM
23.56, 1995, Nov Average, Vietnam, VNM
20.71, 1995, Dec Average, Vietnam, VNM
20.23, 1996, Jan Average, Vietnam, VNM
20.58, 1996, Feb Average, Vietnam, VNM
22.51, 1996, Mar Average, Vietnam, VNM
24.71, 1996, Apr Average, Vietnam, VNM
27.27, 1996, May Average, Vietnam, VNM
27.64, 1996, Jun Average, Vietnam, VNM
27.14, 1996, Jul Average, Vietnam, VNM
27.38, 1996, Aug Average, Vietnam, VNM
25.78, 1996, Sep Average, Vietnam, VNM
25.61, 1996, Oct Average, Vietnam, VNM
24.11, 1996, Nov Average, Vietnam, VNM
22.26, 1996, Dec Average, Vietnam, VNM
21.31, 1997, Jan Average, Vietnam, VNM
22.32, 1997, Feb Average, Vietnam, VNM
23.54, 1997, Mar Average, Vietnam, VNM
26.79, 1997, Apr Average, Vietnam, VNM
27.91, 1997, May Average, Vietnam, VNM
28.08, 1997, Jun Average, Vietnam, VNM
27.77, 1997, Jul Average, Vietnam, VNM
27.69, 1997, Aug Average, Vietnam, VNM
26.70, 1997, Sep Average, Vietnam, VNM
25.74, 1997, Oct Average, Vietnam, VNM
23.81, 1997, Nov Average, Vietnam, VNM
21.82, 1997, Dec Average, Vietnam, VNM
20.54, 1998, Jan Average, Vietnam, VNM
21.97, 1998, Feb Average, Vietnam, VNM
23.05, 1998, Mar Average, Vietnam, VNM
25.68, 1998, Apr Average, Vietnam, VNM
25.87, 1998, May Average, Vietnam, VNM
27.39, 1998, Jun Average, Vietnam, VNM
27.36, 1998, Jul Average, Vietnam, VNM
26.99, 1998, Aug Average, Vietnam, VNM
26.48, 1998, Sep Average, Vietnam, VNM
25.29, 1998, Oct Average, Vietnam, VNM
23.17, 1998, Nov Average, Vietnam, VNM
19.39, 1998, Dec Average, Vietnam, VNM
20.74, 1999, Jan Average, Vietnam, VNM
20.29, 1999, Feb Average, Vietnam, VNM
22.27, 1999, Mar Average, Vietnam, VNM
25.35, 1999, Apr Average, Vietnam, VNM
26.42, 1999, May Average, Vietnam, VNM
27.00, 1999, Jun Average, Vietnam, VNM
27.21, 1999, Jul Average, Vietnam, VNM
27.40, 1999, Aug Average, Vietnam, VNM
26.20, 1999, Sep Average, Vietnam, VNM
25.12, 1999, Oct Average, Vietnam, VNM
22.46, 1999, Nov Average, Vietnam, VNM
21.91, 1999, Dec Average, Vietnam, VNM
21.44, 2000, Jan Average, Vietnam, VNM
21.48, 2000, Feb Average, Vietnam, VNM
22.53, 2000, Mar Average, Vietnam, VNM
26.51, 2000, Apr Average, Vietnam, VNM
26.42, 2000, May Average, Vietnam, VNM
27.01, 2000, Jun Average, Vietnam, VNM
27.25, 2000, Jul Average, Vietnam, VNM
27.21, 2000, Aug Average, Vietnam, VNM
26.79, 2000, Sep Average, Vietnam, VNM
25.46, 2000, Oct Average, Vietnam, VNM
22.00, 2000, Nov Average, Vietnam, VNM
20.75, 2000, Dec Average, Vietnam, VNM
20.41, 2001, Jan Average, Vietnam, VNM
22.16, 2001, Feb Average, Vietnam, VNM
23.11, 2001, Mar Average, Vietnam, VNM
26.28, 2001, Apr Average, Vietnam, VNM
26.80, 2001, May Average, Vietnam, VNM
27.64, 2001, Jun Average, Vietnam, VNM
27.41, 2001, Jul Average, Vietnam, VNM
26.71, 2001, Aug Average, Vietnam, VNM
25.75, 2001, Sep Average, Vietnam, VNM
24.94, 2001, Oct Average, Vietnam, VNM
23.27, 2001, Nov Average, Vietnam, VNM
21.95, 2001, Dec Average, Vietnam, VNM
20.05, 2002, Jan Average, Vietnam, VNM
22.20, 2002, Feb Average, Vietnam, VNM
22.37, 2002, Mar Average, Vietnam, VNM
26.46, 2002, Apr Average, Vietnam, VNM
27.56, 2002, May Average, Vietnam, VNM
27.37, 2002, Jun Average, Vietnam, VNM
27.57, 2002, Jul Average, Vietnam, VNM
27.50, 2002, Aug Average, Vietnam, VNM
26.28, 2002, Sep Average, Vietnam, VNM
25.25, 2002, Oct Average, Vietnam, VNM
23.73, 2002, Nov Average, Vietnam, VNM
20.80, 2002, Dec Average, Vietnam, VNM
20.27, 2003, Jan Average, Vietnam, VNM
20.86, 2003, Feb Average, Vietnam, VNM
22.79, 2003, Mar Average, Vietnam, VNM
25.82, 2003, Apr Average, Vietnam, VNM
26.85, 2003, May Average, Vietnam, VNM
27.19, 2003, Jun Average, Vietnam, VNM
27.01, 2003, Jul Average, Vietnam, VNM
27.34, 2003, Aug Average, Vietnam, VNM
26.27, 2003, Sep Average, Vietnam, VNM
24.62, 2003, Oct Average, Vietnam, VNM
23.76, 2003, Nov Average, Vietnam, VNM
20.90, 2003, Dec Average, Vietnam, VNM
20.01, 2004, Jan Average, Vietnam, VNM
22.06, 2004, Feb Average, Vietnam, VNM
21.70, 2004, Mar Average, Vietnam, VNM
25.84, 2004, Apr Average, Vietnam, VNM
27.87, 2004, May Average, Vietnam, VNM
27.75, 2004, Jun Average, Vietnam, VNM
27.42, 2004, Jul Average, Vietnam, VNM
27.13, 2004, Aug Average, Vietnam, VNM
26.62, 2004, Sep Average, Vietnam, VNM
25.31, 2004, Oct Average, Vietnam, VNM
23.81, 2004, Nov Average, Vietnam, VNM
20.52, 2004, Dec Average, Vietnam, VNM
20.61, 2005, Jan Average, Vietnam, VNM
21.89, 2005, Feb Average, Vietnam, VNM
22.67, 2005, Mar Average, Vietnam, VNM
25.87, 2005, Apr Average, Vietnam, VNM
26.56, 2005, May Average, Vietnam, VNM
27.63, 2005, Jun Average, Vietnam, VNM
27.56, 2005, Jul Average, Vietnam, VNM
27.01, 2005, Aug Average, Vietnam, VNM
26.27, 2005, Sep Average, Vietnam, VNM
25.71, 2005, Oct Average, Vietnam, VNM
24.42, 2005, Nov Average, Vietnam, VNM
21.26, 2005, Dec Average, Vietnam, VNM
19.73, 2006, Jan Average, Vietnam, VNM
22.34, 2006, Feb Average, Vietnam, VNM
23.29, 2006, Mar Average, Vietnam, VNM
24.83, 2006, Apr Average, Vietnam, VNM
26.39, 2006, May Average, Vietnam, VNM
27.79, 2006, Jun Average, Vietnam, VNM
27.44, 2006, Jul Average, Vietnam, VNM
26.90, 2006, Aug Average, Vietnam, VNM
26.03, 2006, Sep Average, Vietnam, VNM
24.74, 2006, Oct Average, Vietnam, VNM
22.03, 2006, Nov Average, Vietnam, VNM
22.10, 2006, Dec Average, Vietnam, VNM
19.64, 2007, Jan Average, Vietnam, VNM
18.75, 2007, Feb Average, Vietnam, VNM
22.33, 2007, Mar Average, Vietnam, VNM
25.54, 2007, Apr Average, Vietnam, VNM
26.20, 2007, May Average, Vietnam, VNM
26.81, 2007, Jun Average, Vietnam, VNM
27.01, 2007, Jul Average, Vietnam, VNM
26.91, 2007, Aug Average, Vietnam, VNM
26.46, 2007, Sep Average, Vietnam, VNM
25.61, 2007, Oct Average, Vietnam, VNM
22.58, 2007, Nov Average, Vietnam, VNM
20.56, 2007, Dec Average, Vietnam, VNM
18.86, 2008, Jan Average, Vietnam, VNM
23.17, 2008, Feb Average, Vietnam, VNM
22.76, 2008, Mar Average, Vietnam, VNM
25.27, 2008, Apr Average, Vietnam, VNM
26.39, 2008, May Average, Vietnam, VNM
27.44, 2008, Jun Average, Vietnam, VNM
27.33, 2008, Jul Average, Vietnam, VNM
27.63, 2008, Aug Average, Vietnam, VNM
26.90, 2008, Sep Average, Vietnam, VNM
25.54, 2008, Oct Average, Vietnam, VNM
22.96, 2008, Nov Average, Vietnam, VNM
21.64, 2008, Dec Average, Vietnam, VNM
21.19, 2009, Jan Average, Vietnam, VNM
22.70, 2009, Feb Average, Vietnam, VNM
23.19, 2009, Mar Average, Vietnam, VNM
25.91, 2009, Apr Average, Vietnam, VNM
27.94, 2009, May Average, Vietnam, VNM
27.77, 2009, Jun Average, Vietnam, VNM
27.66, 2009, Jul Average, Vietnam, VNM
26.97, 2009, Aug Average, Vietnam, VNM
26.74, 2009, Sep Average, Vietnam, VNM
24.52, 2009, Oct Average, Vietnam, VNM
22.93, 2009, Nov Average, Vietnam, VNM
21.53, 2009, Dec Average, Vietnam, VNM
18.52, 2010, Jan Average, Vietnam, VNM
21.30, 2010, Feb Average, Vietnam, VNM
20.11, 2010, Mar Average, Vietnam, VNM
24.79, 2010, Apr Average, Vietnam, VNM
26.55, 2010, May Average, Vietnam, VNM
27.41, 2010, Jun Average, Vietnam, VNM
27.35, 2010, Jul Average, Vietnam, VNM
27.10, 2010, Aug Average, Vietnam, VNM
26.24, 2010, Sep Average, Vietnam, VNM
24.62, 2010, Oct Average, Vietnam, VNM
23.87, 2010, Nov Average, Vietnam, VNM
20.25, 2010, Dec Average, Vietnam, VNM
19.87, 2011, Jan Average, Vietnam, VNM
21.22, 2011, Feb Average, Vietnam, VNM
22.55, 2011, Mar Average, Vietnam, VNM
26.22, 2011, Apr Average, Vietnam, VNM
27.39, 2011, May Average, Vietnam, VNM
27.35, 2011, Jun Average, Vietnam, VNM
27.29, 2011, Jul Average, Vietnam, VNM
27.27, 2011, Aug Average, Vietnam, VNM
26.16, 2011, Sep Average, Vietnam, VNM
25.57, 2011, Oct Average, Vietnam, VNM
24.39, 2011, Nov Average, Vietnam, VNM
22.06, 2011, Dec Average, Vietnam, VNM
20.26, 2012, Jan Average, Vietnam, VNM
22.65, 2012, Feb Average, Vietnam, VNM
23.72, 2012, Mar Average, Vietnam, VNM
25.81, 2012, Apr Average, Vietnam, VNM
27.37, 2012, May Average, Vietnam, VNM
27.47, 2012, Jun Average, Vietnam, VNM
27.04, 2012, Jul Average, Vietnam, VNM
27.12, 2012, Aug Average, Vietnam, VNM
25.99, 2012, Sep Average, Vietnam, VNM
24.58, 2012, Oct Average, Vietnam, VNM
23.55, 2012, Nov Average, Vietnam, VNM
19.15, 2012, Dec Average, Vietnam, VNM
19.29, 2013, Jan Average, Vietnam, VNM
20.88, 2013, Feb Average, Vietnam, VNM
22.91, 2013, Mar Average, Vietnam, VNM
26.18, 2013, Apr Average, Vietnam, VNM
27.95, 2013, May Average, Vietnam, VNM
27.89, 2013, Jun Average, Vietnam, VNM
27.56, 2013, Jul Average, Vietnam, VNM
27.25, 2013, Aug Average, Vietnam, VNM
26.87, 2013, Sep Average, Vietnam, VNM
25.50, 2013, Oct Average, Vietnam, VNM
24.17, 2013, Nov Average, Vietnam, VNM
20.83, 2013, Dec Average, Vietnam, VNM
20.06, 2014, Jan Average, Vietnam, VNM
21.55, 2014, Feb Average, Vietnam, VNM
23.33, 2014, Mar Average, Vietnam, VNM
25.72, 2014, Apr Average, Vietnam, VNM
28.37, 2014, May Average, Vietnam, VNM
28.49, 2014, Jun Average, Vietnam, VNM
27.54, 2014, Jul Average, Vietnam, VNM
27.46, 2014, Aug Average, Vietnam, VNM
26.90, 2014, Sep Average, Vietnam, VNM
25.35, 2014, Oct Average, Vietnam, VNM
24.91, 2014, Nov Average, Vietnam, VNM
22.01, 2014, Dec Average, Vietnam, VNM
20.45, 2015, Jan Average, Vietnam, VNM
20.09, 2015, Feb Average, Vietnam, VNM
